0.221;129996.0
0.236;129331.0
0.241;129214.0
0.255;129151.0
0.264;128973.0
0.286;128665.0
0.353;128655.0
0.366;128606.0
0.376;128552.0
0.378;128501.0
0.418;128357.0
0.422;128315.0
0.432;128306.0
0.448;128239.0
0.456;128199.0
0.462;128098.0
0.466;128013.0
0.5;128004.0
0.501;127994.0
0.506;127958.0
0.507;127955.0
0.509;127888.0
0.511;127824.0
0.53;127817.0
0.532;127795.0
0.533;127563.0
0.535;127496.0
0.536;127485.0
0.564;127401.0
0.564;127382.0
0.565;127359.0
0.571;127314.0
0.573;127270.0
0.62;127240.0
0.622;127211.0
0.629;127172.0
0.667;127045.0
0.668;126953.0
0.91;126942.0
0.912;126914.0
1.012;126858.0
1.08;126844.0
1.124;126839.0
1.152;126821.0
1.153;126811.0
1.174;126772.0
1.301;126673.0
1.302;126654.0
1.303;126612.0
1.305;126600.0
1.306;126587.0
1.314;126541.0
1.315;126529.0
1.315;126509.0
1.358;126489.0
1.521;126478.0
1.836;126433.0
1.852;126430.0
1.858;126332.0
2.026;126282.0
5.052;126278.0
5.898;126181.0
8.964;126168.0
9.036;126140.0
9.036;126127.0
17.103;126056.0
25.998;126047.0
